adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/4mmrgZW9bcgMRFdV1lCcXqCEXEr.jpg,"[28, 18, 12, 9648, 53]",755401,en,Skydog,"After a high school senior working on his pilot’s license rescues a dog named Oreo, he finds out his mom is a CIA agent who’s been captured. He teams up with Oreo and a new friend to find his mother and uncover double agents inside the CIA.",3.692,/dWtMI34vh1oloILjgO8qeE4jaxY.jpg,2020-10-20,Skydog,False,7.3,8
False,/dsyv7WXphgrKki22MBfc4M5r9xi.jpg,[35],499573,en,Top End Wedding,"Lauren and Ned are engaged, they are in love, and they have just ten days to find Lauren’s mother who has gone AWOL somewhere in the remote far north of Australia, reunite her parents and pull off their dream wedding.",3.692,/41tMKQSGAsjbhMfXk4Ygf2bpgTX.jpg,2019-05-02,Top End Wedding,False,5.7,29
False,/vk7YuKyALJJ5lpBZDR92FxPpdrd.jpg,"[10749, 10770]",702701,en,Love at Look Lodge,"Lily dreams of being a hotel event coordinator and is thrilled when she's given the chance to do so by helping Noah, a hotel guest, finish planning his sister Justine's wedding at a remote lodge.",3.691,/yW6c7lyJIhfiklmsqBfpugHHywS.jpg,2020-09-26,Love at Look Lodge,False,7.2,28
False,/dHK1kjvSp9xgEPLWbUevx5Jxhre.jpg,"[10402, 18]",665764,en,Mogul Mowgli,"Zed, a young British rapper, is about to start his first world tour, when a crippling illness strikes him down, and he is forced to move back in with his family. He tries to find himself between an international music career and Pakistani family traditions.",3.691,/fWFJ9K91egs0rQnhEzowmuXWkqv.jpg,2020-10-30,Mogul Mowgli,False,6.5,26
False,/gzpRYbXaWcRHU2JxICzLnZobBOE.jpg,"[18, 35]",565377,en,Mope,"The tragic true story of best friends Steve Driver and Tom Dong, two low end porn actors who sought fame but gained infamy.",3.691,/qG13o04Jat4YtvDBPfBC8q8PfCW.jpg,2019-06-15,Mope,False,4.9,13
False,/uZZSGBtOkz2n3PT2gS0oUy8avId.jpg,[35],511789,en,I Hate Kids,"Nick Pearson is a life-long bachelor who is finally settling down. On the brink of his wedding he is surprised to find he has a 13 year old son who has come to find his him through the help of a psychic. The problem is Nick can't stand kids and would happily send the boy back to live with his biological mother, except that no one has any clue who that might be. Having nowhere to turn Nick must hit the road with the boy and the neurotic, inept psychic to track down dozens of his disgraced ex-flings to whom he must ask the awkward question - with very mixed results.",3.691,/zD6kuWM0W2qSlqCJljRFUnByBou.jpg,2019-01-18,I Hate Kids,False,6.1,36
False,/biVtpDmZUcBKLJcDQPECHgCabbw.jpg,"[35, 10770, 10749]",497515,en,Cooking with Love,"Optimistic and cheerful TV producer, Kelly, doesn’t have time for love. Bad boy celebrity chef, Stephen, doesn’t have time for anything besides cooking. Fun with a side of love ensues as Kelly and Stephen are paired on a children's cooking show.",3.691,/fxV4yA8bQjp6dgjjEpaWtgyGbgA.jpg,2018-10-26,Cooking with Love,False,6.3,22
False,/gtvB8chF3kAANqmfFSB9Bv80jGY.jpg,[99],896639,en,Elizabeth: A Portrait in Part(s),"Elizabeth is an archive-based documentary film about the Queen. A celebration. A truly cinematic mystery-tour up and down the decades: poetic, funny, disobedient, ungovernable, affectionate, inappropriate, mischievous, in awe. Funny. Moving. Different. The Queen as never before.",3.69,/2DUtk0gpBdrRedlySBJldtI8VHa.jpg,2022-04-21,Elizabeth: A Portrait in Part(s),False,5.7,6
False,/f5eSHfrFAIQrDuMElmwKIdog1nG.jpg,"[10770, 35, 9648]",707054,en,Celebrity Escape Room,"Jack Black is the master of ceremonies, leading Courtney Cox, Lisa Kudrow, Adam Scott, and Ben Stiller through a laugh-filled escape room adventure as they solve puzzles, find clues, and crack jokes to laugh their way through a fun maze of rooms.",3.689,/z21oelicEnMXZcoztMMxyOTnGvY.jpg,2020-05-21,Celebrity Escape Room,False,5.5,12
False,,[],813113,en,CHARAN-ATVA,"The Film Depicts the Journey of Charan, a nomadic pastoral tribe found in India.",3.688,/x2HnpaZ6KfyQgURI4zJfYXLWhAL.jpg,2019-07-26,CHARAN-ATVA,False,0.0,0
False,/8UpCgQG4b5JVAEdjTJJKkuupe7S.jpg,"[10749, 10770]",630920,en,Angel Falls: A Novel Holiday,"Hannah is a book editor and she must work with her former rival Ryan to help a potential writer find her way. However, life seems to have other plans for Hannah as Angel Anthony reminds the duo about the miracle of Christmas and the value of community.",3.6870000000000003,/50SEuVmS3uK5amzHGzxJntYwY9r.jpg,2019-12-15,Angel Falls: A Novel Holiday,False,6.7,18
False,/pW2HkFFHo3kiK1QgsbXeJRklWjS.jpg,"[53, 80]",823216,en,Red Stone,"With one bullet, Motley’s life spirals out of control as he’s forced to go on the run from the ruthless crime lord, Jed Haywood. The brother of Haywood's best friend Boons recently died in a terrible car accident and today is the funeral. He has 10 hours to bring Motley in and get to the cemetery. Over the course of a day, Motley and Boon play a game of cat and mouse as their fate brings them together for a climatic showdown.",3.686,/ddpE8hennlkWxLAopx0SbHn0RHX.jpg,2021-12-03,Red Stone,False,7.1,10
False,/nyi66GPJnN1Q93iOzwmk5oftPze.jpg,"[35, 18, 10749]",471689,en,Everything Is Free,"Ivan is a US painter residing in Colombia. His best friend, Christian, and younger brother, Cole, come to visit. Somewhere along the way, Ivan and Cole hit it off although Cole is not gay. Will older brother Christian be okay with that?",3.686,/ad0fNdcdS6v8YHEnTve7r1KKyjX.jpg,2017-09-03,Everything Is Free,False,6.9,13
False,/Ab36upNGtC4EOfsPGs7WrBjdEQH.jpg,"[99, 10402]",493092,en,Bad Reputation,"The life and career of rock n' roll icon Joan Jett from her early years ripping it up onstage as the founder and backbone of hard-rock legends The Runaways, to her long time collaboration with Kenny Laguna as Joan Jett & the Blackhearts, and her enduring presence in pop culture as a rock pioneer and mentor. With her inimitable singles ""I Love Rock n Roll,"" and ""Bad Reputation"" Joan Jett inspired a generation of young women to rock.",3.685,/pGoTT52CTFILoVG9QpCW6K5mtI9.jpg,2018-09-28,Bad Reputation,False,6.7,25
False,/fVGnBhE3KD4hhS4J8qH57JTQcOH.jpg,[99],236426,en,Cleanin' Up the Town: Remembering Ghostbusters,"The documentary that tells us the full story from where it all started through to the future of the ""Ghostbusters"" franchise.",3.685,/kcc6qTeofnrBYX84LbvLIeHzIf0.jpg,2020-01-07,Cleanin' Up the Town: Remembering Ghostbusters,False,6.5,11
False,/xHx0z1egqfZICUHH96nIz2tjqiB.jpg,"[10770, 9648, 53]",621300,en,Pretty Little Stalker,A self help writer and her family become the target of a troubled girl.,3.683,/8wcL25ODjWDIwkahTg40WFMKOXC.jpg,2018-12-11,Pretty Little Stalker,False,4.5,12
False,/dUbfgTJQYXPOiWM3KzWnwGS0lw9.jpg,"[99, 10770]",554175,en,Derren Brown: Sacrifice,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.,3.683,/rMaVBzNauRw8BXqqBnSf90YyH8j.jpg,2018-10-19,Derren Brown: Sacrifice,False,7.4,37
False,/AfvScEfjWRdVdicFXdbE0MPhNgG.jpg,"[53, 27, 878]",434986,en,Replace,"Kira's skin starts to age rapidly, dry out and crumble away. But then she discovers that she can replace her own skin with somebody else's.",3.682,/5pYnf8a9Plaqwfny6lfk5Bpzgo8.jpg,2017-09-02,Replace,False,4.9,35
False,/vFOzXq7G9LTfCfQoYLWljEkdO3w.jpg,[35],460822,en,"Oh, Hello on Broadway","Two delusional geriatrics reveal curious pasts, share a love of tuna and welcome a surprise guest in this filming of the popular Broadway comedy show.",3.681,/4sgAcBkhKoazB4xFwiYfWIdLMNf.jpg,2017-06-13,"Oh, Hello on Broadway",False,6.9,65
False,/3X54gFYaa8lw5ARRCWtbrm6I9EN.jpg,[35],746358,en,Father of the Bride Part 3 (ish),The Banks Family reunites 25 years later for a very special event to benefit World Central Kitchen.,3.6790000000000003,/6dm25OOikORviIcnUAa8W6LITLV.jpg,2020-09-25,Father of the Bride Part 3 (ish),False,8.0,21
False,/21Pj94MOsW5708QTSwRZea8ddfo.jpg,"[28, 878, 53]",425906,en,The Prototype,"A government agent stumbles upon an alien conspiracy to conquer Earth. Using a blue liquid created by the aliens to make soldiers stronger, he becomes The Prototype-the only hope for mankind.",3.6790000000000003,/gGDDRopgIQhemPJ04eI0r0FfmIt.jpg,2022-02-25,The Prototype,False,5.4,13
