adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/oL4p6swBI7KVd2sFnFmo4CQyhrr.jpg,"[36, 18, 28]",726894,ja,燃えよ剣,"Set in the 19th century, ""Moeyo Ken"" follows the life of Toshizo Hijikata (Junichi Okada). He was the vice-commander of the Shinsengumi and fought against the Meiji Restoration. --asianwiki",6.067,/c3Ao5AJN9T5egSHfLr7b262oV7L.jpg,2021-10-15,Baragaki: Unbroken Samurai,False,6.4,8
False,/8Sy7r5fBd5Hq2CfUoM0Agzz2k5w.jpg,"[10749, 10770]",529250,en,"Yes, I Do","Busy chocolatier Charlotte has left her boyfriend James at the altar three times and now she needs to prove to him that she really does want to marry him. Things are complicated when James’ ex-girlfriend Nicole, who is also the owner of Chocolate Monthly Magazine, arrives on the scene and says she wants him back.",8.431,/bGucFJGHeTqrK5Au4rYFzaZ8JIz.jpg,2018-06-30,"Yes, I Do",False,6.9,80
False,/mRnceZhq19AoJf97ueVX7lhAUl5.jpg,"[18, 35]",419635,en,Kodachrome,"Matt Ryder is convinced to drive his estranged and dying father Benjamin Ryder cross country to deliver four old rolls of Kodachrome film to the last lab in the world that can develop them before it shuts down for good. Along with Ben's nurse Zooey, the three navigate a world changing from analogue to digital while trying to put the past behind them.",7.279,/mseyc8v3UD1DhaZ3kSdXs4Dj9Xf.jpg,2017-09-08,Kodachrome,False,6.8,343
False,/ve8eFz0fKHxap9hwm18dUFtxfId.jpg,"[35, 12, 10749]",669664,fr,Antoinette dans les Cévennes,"Antoinette, a school teacher, is looking forward to her long planned summer holidays with her secret lover Vladimir, the father of one of her pupils. When learning that Vladimir cannot come because his wife organized a surprise trekking holiday in the Cévennes National Park with their daughter and a donkey to carry their load, Antoinette decides to follow their track, by herself, with Patrick, a protective donkey.",7.545,/hHU3tev4ujbaElfI6cHlwMqsM5J.jpg,2020-09-16,"My Donkey, My Lover & I",False,6.5,247
False,/554LBf7giXsnbW6ErpaNRNyW7Gc.jpg,"[28, 53]",718949,en,Deadlock,"Mack is a former soldier who, after the war, moved to a town with a nuclear power plant, where nearly everybody works. Life is peaceful for him there, until a gang of mercenaries led by Ron storm the reactor and take everybody hostage, including a group of children on a school trip. Now Mack is in a race against the clock and must use his military training to defeat Ron before he puts the reactor into meltdown. Along the way he discovers Ron’s motive, which unravels a greater secret Mack’s town is hiding.",8.187,/nNZOJnWWaCnfst7LIU8dOuB9h8q.jpg,2021-12-03,Deadlock,False,6.0,45
False,/c9fZTBYVvGyRJBE9I7bF0ItQqOv.jpg,[18],787428,en,Two Distant Strangers,A man trying to get home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.,8.805,/goTRnLgLjr3hdlBHVcFg1VS9eMI.jpg,2021-04-09,Two Distant Strangers,False,7.4,289
False,/8Cc2B2i8L1TF54bNKjQOkokkZfC.jpg,"[53, 10770]",496671,en,"Blood, Sweat and Lies",A recent gym junkie's new personal trainer starts to take their relationship to dangerous levels.,9.279,/cXqUR7bggt0kbT60qSqYDYieYN9.jpg,2018-01-05,"Blood, Sweat and Lies",False,4.7,25
False,/xHd6rARprd4woZinkziIntiTSZD.jpg,"[27, 53, 9648]",854188,en,The Kindred,"After her father’s suicide, a young mother investigates what led to his death. But when she is haunted by spirits and unearths an unsolved mystery from 30 years ago, she discovers a dark family history that could prove deadly for her child.",7.043,/99PE8haWB7nLky627wJBsWn2awJ.jpg,2021-12-28,The Kindred,False,6.6,90
False,/sz87Q1oAOqRKrSNiyV1YXsKgxcA.jpg,"[27, 12, 14]",684684,en,Shortcut,A group of five classmates is trapped inside their school bus after a mysterious creature invade the road. Time runs and every passing minute decreases their survival chances against the constant threats of that unknown entity.,6.354,/5XSbsZS5rQ4VvepXyMBqbpSi2mD.jpg,2020-09-25,Shortcut,False,5.8,77
False,/qJqj6VAxpbbdJB6CtzYoTSR4SNu.jpg,"[16, 35, 10751, 878]",546728,en,Auntie Edna,"Taking place during the events of Incredibles 2, Edna Mode babysits Jack-Jack.",8.281,/evA4aMkr3qEuNPWvCaJdqluureb.jpg,2018-10-23,Auntie Edna,False,7.1,158
False,/qIYZAQ6F9iqjc6nlxLTB7aOU7Us.jpg,[18],523561,da,Lykke-Per,"On his quest for happiness, Per decides to leave Jutland and an upbringing in a strict religious home. He runs from his family and his patriarch father, and sets sail towards Copenhagen to become an engineer. Parallel to his studies, he works on a visionary energy project based on wind and wave energy, a project so much ahead of its time, that professors consider him insane and far too self-confident. However, Per’s project becomes a success and he marries the beautiful Jakobe who is a part of a wealthy Jewish family. One would imagine that Per’s happiness now is made. But Per’s childhood keeps haunting him and his dogmatic family cannot accept his new life. Despite his luck and success, Per is unable to fully cut the strings to his strict religious background, and he now fears that he will repeat his father’s patriarchist behavior.",9.281,/394BkiPZ5h3IceM5wuZXt3t3g1C.jpg,2018-08-30,A Fortunate Man,False,6.9,127
False,/80mewBbpgPGqOqClgn81Jacq0c9.jpg,"[27, 53]",535488,es,Romina,A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.,8.78,/klfBdSpbWnQLqVXXJD8Mczc3XfF.jpg,2018-07-13,Romina,False,2.7,166
False,/cesoxNaFtgehjh72GDniFfrbcws.jpg,"[35, 18]",615684,fr,L'Origine du monde,"One day, Jean-Louis discovers that his heart has stopped. He is not dead, can walk and talk, but his heart is no longer beating. With the help of his wife and a friend, he tries to understand the origin of this mystery.",6.795,/9btM1KTckYffLNMGy5x5Qen9noI.jpg,2020-10-08,Dear Mother,False,5.8,141
